ID,DAY,MONTH,YEAR,DATE,HOUR,MIN,SEC,TIME,TYPE,LIKES,COMMENTS,TOTAL_WORDS,POS,NEG,NEU,COMP
1405174859572227_1359529537470093,18,5,2017,5/18/17,22,47,12,22:47:12,video,5,0,0,0,0,0,0
1405174859572227_1357732987649748,16,5,2017,5/16/17,23,43,17,23:43:17,video,4,0,0,0,0,0,0
1405174859572227_1356739237749123,15,5,2017,5/15/17,23,16,9,23:16:09,video,10,0,10,0,0.428,0.572,-0.718
1405174859572227_1355862441170136,15,5,2017,5/15/17,0,26,53,00:26:53,video,3,0,0,0,0,0,0
1405174859572227_1355855094504204,15,5,2017,5/15/17,0,12,55,00:12:55,video,0,0,0,0,0,0,0
1405174859572227_1355853394504374,15,5,2017,5/15/17,0,8,38,00:08:38,video,0,0,0,0,0,0,0
1405174859572227_1355852547837792,15,5,2017,5/15/17,0,6,49,00:06:49,video,2,0,0,0,0,0,0
1405174859572227_1355852021171178,15,5,2017,5/15/17,0,5,32,00:05:32,video,4,0,0,0,0,0,0
1405174859572227_1355784067844640,14,5,2017,5/14/17,21,54,48,21:54:48,video,4,0,0,0,0,0,0
1405174859572227_1355204227902624,14,5,2017,5/14/17,7,37,16,07:37:16,photo,68,1,125,0.284,0.033,0.682,0.988
1405174859572227_1355169891239391,14,5,2017,5/14/17,6,41,6,06:41:06,video,3,0,0,0,0,0,0
1405174859572227_1355168807906166,14,5,2017,5/14/17,6,38,6,06:38:06,video,3,0,0,0,0,0,0
1405174859572227_1355166664573047,14,5,2017,5/14/17,6,34,21,06:34:21,video,4,0,0,0,0,0,0
1405174859572227_1355165994573114,14,5,2017,5/14/17,6,32,37,06:32:37,video,5,1,0,0,0,0,0
1405174859572227_1351876371568743,10,5,2017,5/10/17,18,44,24,18:44:24,video,7,0,0,0,0,0,0
1405174859572227_1351874031568977,10,5,2017,5/10/17,18,39,54,18:39:54,video,8,0,0,0,0,0,0
1405174859572227_1351852301571150,10,5,2017,5/10/17,18,4,1,18:04:01,link,5,0,10,0,0,1,0
1405174859572227_1351849478238099,10,5,2017,5/10/17,18,0,0,18:00:00,video,3,0,5,0.436,0,0.564,0.475
1405174859572227_1351279901628390,10,5,2017,5/10/17,5,16,32,05:16:32,photo,41,7,75,0.19,0.029,0.781,0.924
1405174859572227_1350945858328461,9,5,2017,5/9/17,21,1,56,21:01:56,video,2,0,0,0,0,0,0
1405174859572227_1350439155045798,9,5,2017,5/9/17,8,0,49,08:00:49,photo,0,0,97,0.082,0.024,0.894,0.717
1405174859572227_1350188241737556,9,5,2017,5/9/17,1,39,19,01:39:19,video,3,0,0,0,0,0,0
1405174859572227_1350186355071078,9,5,2017,5/9/17,1,33,43,01:33:43,video,3,0,4,0.709,0,0.291,0.597
1405174859572227_1350104115079302,9,5,2017,5/9/17,1,23,0,01:23:00,photo,233,16,0,0,0,0,0
1405174859572227_1348120401944340,6,5,2017,5/6/17,21,9,12,21:09:12,video,7,1,10,0,0,1,0
1405174859572227_1348104828612564,6,5,2017,5/6/17,20,40,3,20:40:03,video,7,0,0,0,0,0,0
1405174859572227_1348097405279973,6,5,2017,5/6/17,20,27,41,20:27:41,video,11,0,1,1,0,0,0.659
1405174859572227_1348095091946871,6,5,2017,5/6/17,20,22,24,20:22:24,video,6,0,0,0,0,0,0
1405174859572227_1348093851946995,6,5,2017,5/6/17,20,20,13,20:20:13,video,5,0,0,0,0,0,0
